,baseMean,log2FoldChange,lfcSE,pvalue,padj,FDR_corrected_pvals
Stbd1,39.130225077797,0.721466516666973,0.644772970911162,0.0488998884807586,0.133246283979542,0.15046657374168726
Stc1,3.62716977001173,0.118491407653157,0.54238560380124,0.295503393467574,,0.5434744715024895
Stc2,5.77777975734569,0.306941597371151,0.658089710965222,0.0367566889950933,0.106096501600964,0.11999726380036757
Steap1,3.30858200145613,0.112586818606356,0.545430117334592,0.260875117803142,,0.5045882543197276
Steap2,19.5170453085926,6.5698838890247,2.61957950497106,2.80808779831653e-05,0.000175944973953,0.00019911054174554112
Steap3,1527.67327325085,-1.13617195571032,0.11379911203495,3.39478172358683e-24,8.08213057291493e-23,9.146253858101855e-23
Steap4,7.71301521305135,0.168760266351248,0.53474669031386,0.360670776352573,0.571490940594906,0.6098318685607834
Stfa1,2.14106703135924,-0.0403688963360465,0.53274054933682,0.577865219799846,,0.7951824493704859
Stfa3,50.2350699747291,5.72282286014364,0.947560897850825,2.73752159341863e-10,3.0047558442047302e-09,3.400373142301236e-09
Stil,568.22843070125,-0.964171961607551,0.261891876900442,4.86175761205941e-05,0.0002939662899533,0.00033267098191261846
Stim1,1663.81036271161,-0.223047010239022,0.0998036143375176,0.0226382040937526,0.0707612489990257,0.08006148760847263
Stim2,920.263753965146,-0.0760944237021235,0.14818205495815,0.594714535143614,0.77490315531411,0.8059691510523336
Stip1,3656.99647166627,0.0244694082659652,0.0729559380767173,0.736644026204724,0.865706108200268,0.8884107569275327
Stk10,1798.14123905935,-0.0246688812039315,0.0996340907965578,0.801912384205248,0.905006906596027,0.9221028323856231
Stk11,3693.59361016168,-0.151445178498298,0.117123310052558,0.183124089433737,0.364479095107227,0.40225998974567156
Stk11ip,1215.45726793079,-0.445164640907602,0.131480712746241,0.0004686667987389,0.0023647854093585,0.0026761418265634834
Stk16,1030.33537818698,0.0933602026562134,0.136662524869514,0.481521206147551,0.684487208850934,0.7212972317964186
Stk17b,2889.68969358572,0.391600966388039,0.086140490329896,4.00756512504587e-06,2.8462692925921e-05,3.221019663528931e-05
Stk19,645.469252413782,-0.0649258417816617,0.162115714760319,0.672692714086204,0.825976117095053,0.8539619147853222
Stk19-ps1,6.88148317169359,-0.105489784974027,0.516492367629916,0.541576526889251,0.734441622365204,0.7685145667515223
Stk24,2672.38676422214,-0.335222855472053,0.10203258622768,0.0008210628133742,0.0039254646699757,0.004442305906678262
Stk25,1683.32290456651,-0.0362883359508724,0.110876863424801,0.754388879934968,0.877788535367071,0.8984709172258101
Stk26,146.294150259757,-0.600321883273001,0.38930483878816,0.0447162157150262,0.124272522775428,0.14045509391532404
Stk3,743.649614228831,0.239243998763929,0.152124734970682,0.100595926765789,0.233448576679694,0.26135486785048906
Stk32c,24.8261060710436,-0.679202279633676,0.985547887189599,0.0365166469470735,0.105653813238081,0.11949640635636143
Stk35,922.908362843877,0.0900985435865519,0.147728846134219,0.526820556962067,0.722725432670349,0.757627211097553
Stk36,75.1376754304054,-0.161097018311681,0.406311227770478,0.553091253966311,0.742514758788342,0.7760406706017937
Stk38,3206.93005890596,-0.0776702933648001,0.106476111065959,0.451995192580211,0.660157725107791,0.6980846178757435
Stk38l,312.219645053668,-0.306659174968725,0.224089188300044,0.129859112562184,0.284374072176263,0.3165304377559903
Stk39,7.05001104047405,-0.0722220515437419,0.513511725468859,0.653488972111619,0.813513459470792,0.8417583219904524
Stk4,3718.7935602483,-0.108227058364127,0.0846074054136778,0.185467559457732,0.367864143680636,0.4058738405522199
Stk40,1246.10640010414,0.598754982500063,0.139742876341974,8.77050343805078e-06,5.89596415391368e-05,6.672248660604606e-05
Stkld1,35.3373228645776,0.103598314624424,0.488302192088205,0.640359685540516,0.804983153683848,0.8336899709946229
Stmn1,4568.76287852257,-1.82207756625662,0.0853292617660534,3.1462982705309098e-102,4.5585367228177797e-100,5.158730573853347e-100
