,baseMean,log2FoldChange,lfcSE,pvalue,padj,FDR_corrected_pvals
Gm16796,3.23244435321208,0.0192271468622556,0.258538709900281,0.584867616819612,,0.8377606283621827
Gm16835,14.8294539599902,0.0945007413684445,0.257541709403004,0.353318336345777,0.651911042615121,0.696423044701144
Gm16845,22.2462562937144,0.249908002801157,0.412212654798604,0.0374192750982563,0.261284024057849,0.303957192717035
Gm16853,3.87390965176962,-0.0011039415022202,0.253932258176781,0.981421757067393,,0.9944951486968966
Gm16861,24.8026252748381,0.176227894321698,0.302388147938608,0.140821523865007,0.4414992606919,0.4966921564530967
Gm16863,3.87315359465312,-0.0462570861664149,0.260481433970908,0.374305290973259,,0.7103825750230106
Gm16867,588.162491843585,-0.146891951455361,0.189968010299105,0.284973833098388,0.594298334078165,0.6437995860072064
Gm16892,22.3443951259403,0.0088524329394393,0.251127553872611,0.895565732571731,0.959457700279455,0.969653201107525
Gm16894,3.14937097292874,0.0319469998468879,0.259151133494404,0.45904988438799,,0.7628843466095423
Gm16897,22.6330776210223,0.020208671845039,0.247856133076068,0.797881052626122,0.915599318844378,0.9331619328367342
Gm16907,18.1045512509605,0.0027144531015055,0.248884267727726,0.971688296102877,0.989341808472351,0.992284949330528
Gm16973,143.967785377341,-0.0545721875848051,0.182394139097733,0.676011827576367,0.856509622534395,0.8825930901774579
Gm16982,2.67772892316542,0.0523108321492183,0.266506069795776,0.0688127256891734,,0.3838147580206413
Gm16984,2.47462863065536,-0.014146436208333,0.256791691580643,0.742269511970511,,0.9099811241041703
Gm17017,6.81383353668469,0.0707813581916857,0.267900146470596,0.206708836040139,0.521797119838161,0.5767680968553518
Gm17018,369.346225852573,0.168260867262594,0.298503400866496,0.14906302405177,0.451863162666777,0.5065480978044969
Gm17022,65.9542731273366,-0.0857187999414232,0.270695464466541,0.211576250580941,0.52524344330183,0.5800223074124535
Gm17023,1.48843662677089,-0.0225395739103075,0.258131884422013,0.573019311097952,,0.8315433788016242
Gm17024,10.8963609168865,-0.0080533399198389,0.250592317038371,0.902594729447683,0.96207960889242,0.9719387179155352
Gm17029,31.3954912751578,1.05038738782133,0.493191132120199,0.0016351587331782,0.0487469341854755,0.05901513407175735
Gm17039,4.15914528596966,0.0414590613445652,0.261583921985849,0.312473639944167,,0.6636064121693704
Gm17055,16.870496592587,-0.0778138154771585,0.258889540179601,0.369727522373102,0.663837612212131,0.7079032494133489
Gm17057,1.45437550804846,-0.0248480214061944,0.259734667400301,0.436341146099602,,0.7496438338940821
Gm17058,0.957576714295263,0.014690281300299,0.260186729468013,0.445811385320436,,0.7547360780120168
Gm17060,2.41320927380473,0.016772939595742,0.259050953171599,0.564092712202146,,0.8264326784307574
Gm17066,223.406826980678,0.0412033990434482,0.212780560102681,0.743367337888595,0.888990062182261,0.9104993324326395
Gm17080,20.7910655701796,0.0219168855921255,0.24057839745961,0.814368880440114,0.922827065900486,0.9391238692242195
Gm17082,2.20004932817007,-0.033648164345274,0.261706475213395,0.242959967733928,,0.6114307531346856
Gm17083,2.88671245122408,-0.0636020379387328,0.268196208130055,0.136159024252751,,0.4901490721724569
Gm17084,18.0230292525089,0.025468770643388,0.244470282191228,0.77024666187087,0.90239125874851,0.9220936595100309
Gm17090,29.8034762238871,-0.0308934996903547,0.244241445240194,0.722950763677317,0.879040090999872,0.9017135254568923
Gm17092,12.5657443374754,0.0413898311754072,0.242870587315608,0.664088415146763,0.849035636904546,0.8756212392458547
Gm17096,7.1685446440701,-0.027096451489211,0.253992997917724,0.658944882612133,0.845528368924177,0.8729633078741713
Gm17097,3.03273312755058,-0.0152929165548912,0.256723621803015,0.728305764986577,,0.9041007465471926
Gm17098,3.71303002243131,-0.0115651200750518,0.256381179832177,0.79108757071142,,0.9302114113870255
Gm17102,1.3266568973621,0.0249281494398303,0.261174355020696,0.234259617061739,,0.6044319689329943
Gm17103,1.38729426601401,0.0108557041091501,0.259241540652244,0.617903968600692,,0.8531791158320043
Gm17106,4.67371587317516,-0.0294968879107783,0.25275769787157,0.658361505015541,0.845345379608217,0.8728318555363238
Gm17108,12.1272779244338,0.0173091227259778,0.243738670076778,0.841346585594682,0.936951562538033,0.9504689101153387
Gm17110,2.79938416882357,0.0659567778691781,0.268888563330025,0.124403419232969,,0.47712289754557347
Gm17111,2.11368902864271,0.0316136847325895,0.261539112636905,0.209532286833967,,0.5785049773382217
Gm17122,16.0215182946747,0.0162116828725817,0.26052847241775,,,1.0
Gm17131,148.667507265959,-0.0651042354459004,0.237987767667404,0.552834945645391,0.785324993563089,0.8188857852529698
Gm17132,101.885859523679,0.0487233206842511,0.23255055055702,0.66074459718097,0.84726698956315,0.8742409868395957
Gm17137,5.05362116724147,0.0031373844960509,0.25512127523498,0.949875115123712,0.981342863860977,0.9895250693900352
Gm17139,4.94280883559112,0.0175430358662292,0.260641101093672,0.0887473454630605,0.367312656792011,0.4199779466564961
Gm17147,1.46406703604884,-0.0154925890839896,0.258493788411092,0.641404620304402,,0.8641088246126946
Gm17149,1.47611007851569,-0.0181803114979954,0.259604860343198,0.454298600274345,,0.7605791469355911
